year month day hour minnute second latitude longitude depth magnitude label
2011 3 15 6 40 51.33 40.0260 140.5542 10.28 0.6 1
2011 3 15 11 9 19.36 40.0320 140.5485 10.28 0.7 1
2011 3 16 3 26 52.33 40.0315 140.5475 9.16 0.8 1
2011 3 16 18 8 37.18 40.0302 140.5535 10.35 0.7 0
2011 3 17 23 11 36.73 40.0338 140.5412 10.30 0.6 0
2011 3 17 23 44 1.57 40.0305 140.5457 10.48 1.1 0
2011 3 18 3 17 45.39 40.0280 140.5492 10.64 0.9 1
2011 3 18 6 43 58.00 40.0305 140.5423 10.70 0.4 0
2011 3 18 7 43 9.54 40.0347 140.5393 10.45 0.7 1
2011 3 18 8 10 0.56 40.0248 140.5478 10.50 0.5 0
2011 3 27 4 53 0.56 40.0327 140.5502 9.30 0.9 0
2011 3 28 19 4 13.92 40.0352 140.5507 10.34 1.1 0
2011 3 29 10 16 55.51 40.0303 140.5503 7.25 1.2 0
2011 4 1 0 26 40.34 40.0328 140.5497 9.16 0.7 0
2011 4 1 1 43 15.26 40.0257 140.5398 9.53 0.1 1
2011 4 16 20 21 1.33 40.0260 140.5575 5.92 1.2 0
2011 5 12 1 26 45.41 40.0310 140.5375 10.48 0.0 0
2011 5 14 7 12 14.81 40.0300 140.5467 10.49 1.3 1
2011 5 15 0 26 44.44 40.0368 140.5495 8.58 0.5 0
2011 5 15 0 35 41.59 40.0343 140.5460 8.24 1.2 0
2011 5 16 22 14 27.25 40.0302 140.5505 9.73 1.3 0
2011 5 17 16 2 12.65 40.0317 140.5490 7.79 1.3 0
2011 5 17 16 35 26.06 40.0317 140.5468 7.86 1.1 0
2011 5 19 17 26 43.76 40.0328 140.5468 8.49 1.5 0
2011 5 20 5 55 46.55 40.0318 140.5523 8.27 1.1 0
2011 5 22 4 14 31.02 40.0332 140.5493 8.07 1.5 1
2011 5 24 0 28 36.83 40.0352 140.5513 10.07 0.7 1
2011 5 25 0 1 9.77 40.0372 140.5483 10.28 0.5 1
2011 5 25 0 2 47.60 40.0337 140.5488 7.85 0.3 0
2011 5 25 10 28 36.23 40.0385 140.5400 7.38 0.8 0
2011 5 25 12 42 40.38 40.0333 140.5520 7.09 1.3 1
2011 5 26 4 17 30.27 40.0327 140.5442 9.75 0.5 1
2011 5 27 7 33 13.36 40.0335 140.5483 6.89 1.0 0
2011 5 27 12 7 47.67 40.0333 140.5493 8.41 1.8 1
2011 5 28 15 9 48.82 40.0258 140.5435 6.39 0.4 1
2011 5 28 17 29 39.01 40.0328 140.5472 8.62 1.1 0
2011 5 29 4 2 34.85 40.0323 140.5507 8.77 1.7 0
2011 5 30 6 52 46.28 40.0308 140.5487 7.47 1.5 1
2011 5 30 12 3 55.79 40.0363 140.5495 8.23 0.6 0
2011 5 30 13 52 37.38 40.0372 140.5487 9.46 0.9 1
2011 5 30 17 19 51.35 40.0345 140.5507 8.15 1.6 1
2011 6 2 0 4 29.10 40.0295 140.5443 10.18 0.7 1
2011 6 2 3 36 4.74 40.0345 140.5525 10.79 1.2 0
2011 6 2 3 55 30.22 40.0360 140.5523 9.44 1.3 0
2011 6 2 17 4 45.92 40.0345 140.5497 8.58 1.5 1
2011 6 2 20 8 44.70 40.0338 140.5513 9.72 0.7 1
2011 6 3 13 6 41.30 40.0348 140.5478 7.54 0.9 1
2011 6 3 20 44 29.94 40.0350 140.5458 8.09 1.1 1
2011 6 4 7 38 53.47 40.0350 140.5457 7.84 1.5 1
2011 6 4 7 43 7.44 40.0352 140.5500 9.86 1.2 1
2011 6 5 0 1 36.79 40.0388 140.5400 8.41 0.4 1
2011 6 5 0 5 1.41 40.0337 140.5477 8.19 0.8 1
2011 6 5 0 8 31.72 40.0392 140.5480 9.23 1.1 0
2011 6 5 1 10 35.24 40.0343 140.5503 6.74 1.6 1
2011 6 5 13 25 47.68 40.0345 140.5478 8.56 2.0 0
2011 6 5 22 54 34.53 40.0357 140.5518 9.74 1.4 1
2011 6 5 22 55 8.32 40.0353 140.5497 9.14 1.2 1
2011 6 6 0 9 12.13 40.0338 140.5503 9.62 1.0 1
2011 6 6 0 9 50.23 40.0345 140.5492 9.53 1.1 1
2011 6 6 11 41 16.00 40.0330 140.5473 7.39 0.9 1
2011 6 6 11 42 22.74 40.0320 140.5472 8.72 0.6 0
2011 6 6 14 43 17.22 40.0330 140.5427 9.98 0.7 1
2011 6 6 18 15 45.03 40.0340 140.5477 8.53 1.4 1
2011 6 7 2 32 46.51 40.0375 140.5497 9.02 1.0 0
2011 6 7 2 35 55.27 40.0330 140.5512 9.15 0.9 0
2011 6 7 4 35 8.50 40.0317 140.5460 9.92 0.6 0
2011 6 8 2 17 56.54 40.0267 140.5552 9.40 0.7 0
2011 6 8 3 22 2.02 40.0367 140.5525 9.85 1.1 1
2011 6 8 10 7 2.56 40.0347 140.5520 8.45 0.9 0
2011 6 8 15 39 38.70 40.0342 140.5530 10.27 1.8 1
2011 6 9 0 18 42.95 40.0342 140.5515 9.50 0.8 1
2011 6 9 0 33 0.41 40.0368 140.5437 10.09 0.3 1
2011 6 9 7 20 48.61 40.0342 140.5527 10.44 1.3 1
2011 6 9 7 21 3.85 40.0372 140.5460 8.93 2.3 1
2011 6 9 23 4 32.45 40.0387 140.5468 9.00 1.0 1
2011 6 10 2 16 7.89 40.0352 140.5478 9.89 0.9 0
2011 6 10 8 31 36.15 40.0363 140.5530 10.19 1.0 0
2011 6 10 21 4 9.20 40.0375 140.5505 9.57 0.7 1
2011 6 11 3 9 59.24 40.0358 140.5492 9.26 0.9 0
2011 6 11 3 26 15.51 40.0377 140.5460 9.44 1.7 0
2011 6 11 4 7 38.41 40.0388 140.5482 9.98 0.4 1
2011 6 11 5 40 58.76 40.0363 140.5488 8.75 1.2 1
2011 6 11 14 56 36.74 40.0448 140.5452 10.08 0.0 0
2011 6 11 23 38 8.70 40.0417 140.5458 9.31 0.9 1
2011 6 12 4 4 27.93 40.0343 140.5512 8.17 1.4 0
2011 6 12 7 38 54.51 40.0405 140.5415 9.92 0.3 0
2011 6 12 19 44 56.72 40.0357 140.5455 8.46 1.0 1
2011 6 13 5 53 34.30 40.0343 140.5488 8.87 0.5 0
2011 6 13 8 26 59.47 40.0263 140.5588 3.95 1.5 1
2011 6 13 10 43 49.35 40.0353 140.5500 9.40 0.9 1
2011 6 13 12 17 2.25 40.0352 140.5505 9.98 1.3 1
2011 6 13 12 26 34.64 40.0365 140.5443 8.70 2.8 1
2011 6 13 12 28 4.64 40.0347 140.5432 8.83 0.4 1
2011 6 13 12 29 39.60 40.0363 140.5493 10.17 0.8 1
2011 6 13 12 29 49.54 40.0345 140.5453 7.40 0.6 1
2011 6 13 13 20 52.10 40.0363 140.5432 8.18 1.5 1
2011 6 13 14 3 40.66 40.0370 140.5450 7.42 1.0 1
2011 6 13 14 4 44.89 40.0378 140.5352 9.67 1.1 0
2011 6 14 1 28 1.17 40.0363 140.5452 8.87 1.5 1
2011 6 14 1 31 16.07 40.0367 140.5435 8.21 2.1 1
2011 6 15 5 22 33.91 40.0380 140.5437 9.32 0.8 1
2011 6 15 11 6 42.33 40.0363 140.5467 8.73 2.2 0
2011 6 15 12 8 29.50 40.0340 140.5435 8.80 1.3 1
2011 6 15 21 45 16.24 40.0363 140.5453 8.45 1.2 1
2011 6 16 3 45 8.24 40.0378 140.5502 9.28 0.5 1
2011 6 16 9 25 21.60 40.0328 140.5485 10.08 0.9 1
2011 6 16 23 45 28.59 40.0312 140.5463 9.37 1.2 0
2011 6 17 0 47 51.96 40.0395 140.5488 9.93 0.8 1
2011 6 17 4 39 42.36 40.0373 140.5490 9.59 0.7 1
2011 6 17 11 10 46.99 40.0368 140.5423 8.26 0.4 0
2011 6 17 13 18 52.27 40.0390 140.5467 9.41 1.0 1
2011 6 17 15 47 49.56 40.0342 140.5522 10.39 1.3 1
2011 6 18 3 57 53.42 40.0357 140.5472 9.65 0.9 0
2011 6 18 8 44 25.91 40.0407 140.5442 9.35 1.4 0
2011 6 18 8 49 12.58 40.0387 140.5495 9.64 1.1 1
2011 6 18 8 55 31.00 40.0392 140.5470 8.65 1.2 1
2011 6 18 8 58 12.95 40.0407 140.5473 9.14 1.0 0
2011 6 18 9 11 11.26 40.0388 140.5483 9.15 1.0 1
2011 6 19 3 5 32.46 40.0398 140.5453 8.24 0.8 1
2011 6 19 18 5 13.73 40.0353 140.5465 9.45 0.6 0
2011 6 19 20 20 24.21 40.0255 140.5495 9.46 0.8 0
2011 6 19 21 3 9.13 40.0402 140.5453 8.48 1.3 1
2011 6 19 22 4 37.98 40.0357 140.5462 8.75 0.9 0
2011 6 20 4 44 43.17 40.0348 140.5517 9.66 0.8 0
2011 6 20 5 11 25.48 40.0387 140.5427 8.45 0.6 0
2011 6 20 16 29 35.03 40.0402 140.5447 9.47 1.8 1
2011 6 21 7 6 19.35 40.0335 140.5497 10.46 1.2 0
2011 6 21 7 18 42.92 40.0403 140.5428 9.15 1.1 0
2011 6 21 16 15 21.35 40.0410 140.5452 9.57 1.4 0
2011 6 22 0 26 49.60 40.0385 140.5455 10.05 0.7 1
2011 6 22 4 25 11.16 40.0355 140.5512 9.76 0.8 0
